bucket,produto_id,nome,tipo,descontinuado,controla_estoque,categoria_compras,items_nfe_matched,orfaos_token_match,vendas_total,vendas_90d,vendas_30d,qtd_vendida_30d,ultima_venda
AUTO_NFE,4a609dcf-7fce-4388-ab0c-f063d9047413,Vermumouth Bianco Carpano 950ml,INSUMO,false,true,,0,1,0,0,0,0,
NUNCA_VENDIDO,b36f3517-c33d-4029-be0c-0dbb560e1679,Caranguejo  - Porção (50g),INSUMO,false,true,,0,0,0,0,0,0,
AUTO_NFE,e449bcde-af6a-49c2-a697-92d90492d439,MAÇA VERDE,VENDA_SIMPLES,false,false,,0,3,0,0,0,0,
NUNCA_VENDIDO,92a29c04-72dd-475f-af48-94dfa0d545e2,Soda Italiana,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
DESCONTINUADO,f23b8129-d06e-4ef0-ad3f-3bb337bea04d,* Excluído * licor Cointreau - dose,VENDA_SIMPLES,true,false,,0,3,0,0,0,0,
AUTO_NFE,64b612bc-5dec-49fb-b718-c7ee4cfda7dd,Vinho Branco Bianco Puglia IGP,VENDA_SIMPLES,false,true,,0,15,0,0,0,0,
AUTO_NFE,be8a273c-ff91-4927-94a6-a1887be96e3b,Vinho Tinto Ricossa Asti DOCG barbera,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
DESCONTINUADO,4e0795d7-58d0-4e4a-b1fe-ddf7aa5e2ea2,* Excluído * Molho de queijo,INSUMO,true,true,,0,14,0,0,0,0,
AUTO_NFE,f4516f44-81e6-4491-95e1-efb739075ca4,Uisque Hibiki japan 700ml,INSUMO,false,true,,0,2,0,0,0,0,
DESCONTINUADO,a2d6dbea-d456-4427-a8d6-84f713514404,Evento 23/04/26 Bradesco Vida e previdencia,VENDA_SIMPLES,true,false,,0,2,0,0,0,0,
NUNCA_VENDIDO,cc11d458-42da-456b-9872-e45f29c42a61,Framboesa,INSUMO,false,true,,0,0,0,0,0,0,
AUTO_NFE,7e723c42-c1fc-42f3-bfce-9d5ec3b4d759,Vinho Branco Paulo laureano classico,VENDA_SIMPLES,false,true,,0,16,0,0,0,0,
AUTO_NFE,bd33ce2f-2372-48ec-a5fd-f9ed47dccd6f,Uisque Gold Label 750ml,INSUMO,false,true,,0,18,0,0,0,0,
AUTO_NFE,1d847fb0-2589-47c1-8853-88b77a14daac,Vinho Branco Meruge,VENDA_SIMPLES,false,true,,0,14,0,0,0,0,
AUTO_NFE,e2d9b7a3-2039-4838-8a7f-90196d08fe3b,Vinho Tinto Chateau Haut Vigneau,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
DESCONTINUADO,0705c7c9-008a-4e3d-99b7-4c03d84a441a,* Excluído * Açúcar,INSUMO,true,true,,0,8,0,0,0,0,
AUTO_NFE,c950d616-e9cc-4e48-b6d6-82495541e1cc,Vinho Tinto Savigny-Les-Beaune,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
AUTO_NFE,08ec58cc-418e-40b7-a3e6-b8fdf6533c23,Bacon - 50g,INSUMO,false,true,,0,2,0,0,0,0,
NUNCA_VENDIDO,df228472-4db4-4c8e-ade6-97f35780d03e,Champagne Veuve Clicquot Brut,VENDA_SIMPLES,false,true,,0,0,0,0,0,0,
DESCONTINUADO,ddccbd6a-070f-4bb9-bf66-851f4b8f95e7,* Excluído * Tapas,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
